ID,Título,Autores,Año,Revista / fuente,Base,Perfil,DOI,URL,OA,Abstract,Modelo final,Confianza,Acción,Base de evidencia,Decisión humana,Revisor,URL full-text
R000103,Notas introductorias sobre el populismo y la cultura política en el área andina de América Latina,H.C.F. Mansilla,2009,Ciências Sociais Unisinos,crossref,module_B_pt,10.4013/csu.2009.45.2.02,https://doi.org/10.4013/csu.2009.45.2.02,diamond,"Los elementos centrales de la cultura poltica y de la mentalidad colectiva del rea andina se arrastran desde la poca colonial. Han sufrido obviamente muchas alteraciones; la ms importante ha sido la inducida por el proceso de modernizacin en la segunda mitad del siglo XX. Pero sus rasgos ms importantes siguen vigentes hasta ahora: autoritarismo, paternalismo y centralismo, por un lado, y el funcionamiento lento, inefi ciente y enrevesado del aparato burocrtico, por otro. Una carencia adicional de investigaciones es el tema de la percepcin colectiva de la",qwen3.5:9b,0.49,route_academic_core,title+abstract,uncertain,local_reviewer,https://revistas.unisinos.br/index.php/ciencias_sociais/article/download/4890/2145/15814
R000108,An Internal Validation Assessment of Scale Across Social Vulnerability Index Model Structures (Uncertainty and Global Sensitivity Analysis),Selena Hinojos; Caitlin Grady,2025,HydroShare Resources,crossref,module_C_en,10.4211/hs.719a8d719907435dade9102aa9a0fa8d,https://doi.org/10.4211/hs.719a8d719907435dade9102aa9a0fa8d,green,,qwen3.5:9b,1,none,title,uncertain,local_reviewer,https://doi.org/10.4211/hs.719a8d719907435dade9102aa9a0fa8d
R000111,ÍNDICE ANALÍTICO,,2006,La república deliberativa,crossref,module_C_es,10.2307/jj.2321989.16,https://doi.org/10.2307/jj.2321989.16,closed,,qwen3:14b,0.49,retrieve_fulltext,title,uncertain,local_reviewer,http://doi.org/10.2307/jj.2321989.16
R000113,ÍNDICE DE CASOS JUDICIALES,,2016,Precios de transferencia: análisis de la validez empírica de los métodos propuestos por la ocde para la eveluación del principio de plena competencia,crossref,module_C_es,10.2307/j.ctv1503j4m.5,https://doi.org/10.2307/j.ctv1503j4m.5,closed,,qwen3:14b,0.49,retrieve_fulltext,title,uncertain,local_reviewer,https://doi.org/10.2307/j.ctv1503j4m.5
R000124,The Monte Carlo Process and Scenario Planning,Charles Yoe,2025,The Art of Making Decisions Under Uncertainty,crossref,module_D_en,10.1201/9781003605089-24,https://doi.org/10.1201/9781003605089-24,,,qwen3.5:9b,1,route_seed_data_source,title,uncertain,local_reviewer,
R000147,"Ciência Política, democracia e dinâmicas de governança",,2026,,crossref,module_D_pt,10.22533/at.ed.34911261201,https://doi.org/10.22533/at.ed.34911261201,closed,,qwen3.5:9b,1,retrieve_fulltext,title,uncertain,local_reviewer,https://doi.org/10.22533/at.ed.34911261201
R000175,El control constitucional de las resoluciones electorales en el Perú,César Landa,2011,Revista Elecciones,crossref,module_E_es,10.53557/elecciones.2011.v10n11.02,https://doi.org/10.53557/elecciones.2011.v10n11.02,gold,"Este trabajo analiza los límites entre el derecho constitucional y el derecho electoral en la aplicación de criterios que garanticen la participación política y que, a su vez, respeten los requisitos y garantías de libertad e igualdad del sufragio ciudadano. El autor parte de un concepto amplio de democracia, el cual supera la concepción restringida de considerarla solamente como un método electoral y un conjunto de reglas que organizan las elecciones. Este vasto concepto permite la aplicación de los criterios constitucionales en dicha materia. El artículo muestra el debate surgido en la legislación peruana y sus instituciones.",qwen3.5:9b,0.49,route_academic_core,title+abstract,uncertain,local_reviewer,https://doi.org/10.53557/elecciones.2011.v10n11.02
R000177,Resultados electorales oficiales de 2006. República de El Salvador ; Tribunal Supremo Electoral. Consolidado nacional de las elecciones para concejos municipales ; Tribunal Supremo Electoral. Consolidado nacional de las elecciones para diputados,El Editor,2006,ECA: Estudios Centroamericanos,crossref,module_E_es,10.51378/eca.v61i688-689.4954,https://doi.org/10.51378/eca.v61i688-689.4954,gold,"No abstract available.
ECA Estudios Centroamericanos, Vol. 61, No. 688-689, 2006: 339-371.",qwen3:14b,0.49,route_academic_core,title+abstract,uncertain,local_reviewer,https://doi.org/10.51378/eca.v61i688-689.4954
R000179,Integridad electoral en la construcción de los resultados electorales,Gustavo López Montiel,2019,Integridad electoral,crossref,module_E_es,10.2307/j.ctvxbpgs0.12,https://doi.org/10.2307/j.ctvxbpgs0.12,closed,,qwen3:14b,0.49,retrieve_fulltext,title,uncertain,local_reviewer,https://doi.org/10.2307/j.ctvxbpgs0.12
R000201,Reforma política : para consolidar el régimen democrático,"Pease García, Henry",2008,,core,module_A_es,10.18800/9789972428531,https://core.ac.uk/download/655679774.pdf,open,"149 p. ; 17 cm.En el Perú, el reinicio del régimen democrático generó grandes expectativas en la población y en las instituciones. Sin embargo, este periodo de estabilización democrática no ha alcanzado los resultados esperados. A pesar de la disminución de los índices de pobreza y el desarrollo económico actuales, una alarmante desigualdad aún subsiste para la mayor parte de la población.

 

Reforma política, de Henry Pease García, busca reafirmar un régimen democrático que permita mejores condiciones para la mayoría. Plantea modificaciones puntuales con relación al sistema electoral, medidas para fortalecer a los partidos políticos e importantes reformas al sitema de gobierno, entre otras. Resalta, además, la importancia de la responsabilidad de nuestros representantes en la consolidación de una verdadera democracia representativa, así como la urgencia de mecanismos que incluyan en dicha democracia a los sectores empobrecidos de nuestro territorio",qwen3.5:9b,0.49,route_academic_core,title+abstract,uncertain,local_reviewer,https://core.ac.uk/download/655679774.pdf
R000253,Índice de artículos,"Publicados, Índice de artículos",2013,"{""title"": null, ""identifiers"": []}",core,module_C_es,,https://core.ac.uk/download/533173403.pdf,open,Índice de artículos pubblicados en los números 7 a 12Índice de artículos pubblicados en los números 7 a 1,qwen3:14b,0.49,route_academic_core,title+abstract,uncertain,local_reviewer,https://core.ac.uk/download/533173403.pdf
R000299,Derecho electoral municipal: un análisis sociológico de su variación en el Perú 1980-2002,"Vargas León, Carlos",2002,,core,module_E_es,10.53557/elecciones.2002.v1n1.03,https://core.ac.uk/download/517418424.pdf,open,"This article analyzes the electoral law that regulates the election and citizen participation in municipal elections in Peru from 1980 to 2002. participation in municipal elections in Peru, from 1980 to 2002. From a sociological point of view, it analyzes the functioning and efficacy of electoral norms and the likely political and social implications.En este artículo se analiza el derecho electoral que regula la elección y la participación ciudadana en las elecciones municipales del Perú, de 1980 al 2002. Desde un punto de vista sociológico se analiza el funcionamiento y la eficacia de las normas electorales y las probables implicancias políticas y sociales",qwen3.5:27b,0.49,route_academic_core,title+abstract,uncertain,local_reviewer,https://core.ac.uk/download/517418424.pdf
R000350,Political polarization in low- and middle-income countries,Larreguy H.,2026,Nature Human Behaviour,scopus,module_A_en,10.1038/s41562-026-02507-3,https://api.elsevier.com/content/abstract/scopus_id/105042611963,closed,,qwen3.5:27b,0.4,retrieve_fulltext,title,uncertain,local_reviewer,https://doi.org/10.1038/s41562-026-02507-3
R000351,The Treacherous Road out of Autocracy,Gamboa L.,2026,Current History,scopus,module_A_en,10.1525/curh.2026.125.872-873.38,https://api.elsevier.com/content/abstract/scopus_id/105044370692,closed,"The 2026 US military intervention in Venezuela and the arrest of Nicolás Maduro have failed to trigger an immediate democratic turnover, illustrating the profound difficulty of dislodging competitive authoritarian regimes. While charismatic leadership and international pressure—exemplified by Nobel laureate María Corina Machado—can mobilize resistance, they often struggle to navigate the “zero-sum” trap that keeps authoritarian coalitions united. Successful transitions in Poland, South Africa, and Perú can provide models showing that this sustainable democratization requires providing off-ramps and credible political futures for members of the outgoing regime. Ultimately, restoring democracy demands a shift from uncompromising confrontation to a pragmatic strategy of factional negotiation, institutional soul-searching, and the creation of inclusive mechanisms for accountability.",qwen3.5:27b,0.75,retrieve_fulltext,title+abstract,uncertain,local_reviewer,https://doi.org/10.1525/curh.2026.125.872-873.38
R000540,School well-being in boarding schools: challenges and opportunities to overcome social anomie in an indigenous context,Villarroel-Cárdenas V.,2026,Estudios Pedagogicos,scopus,module_D_es,10.4067/s0718-07052026000100501,https://api.elsevier.com/content/abstract/scopus_id/105041303264,diamond,,qwen3.5:27b,0.3,retrieve_fulltext,title,uncertain,local_reviewer,https://doi.org/10.4067/s0718-07052026000100501
R000596,Discursive geographies of extraction: towards a territorialized application of cultural political economy of extractivism in Chile and Peru,Watanabe-Farro A.,2026,Extractive Industries and Society,scopus,module_E_es,10.1016/j.exis.2026.102020,https://api.elsevier.com/content/abstract/scopus_id/105046891472,hybrid,,qwen3.5:9b,0.49,retrieve_fulltext,title,uncertain,local_reviewer,https://doi.org/10.1016/j.exis.2026.102020
R000643,Neoconservadorismo na América Latina: o ataque aos direitos sexuais e reprodutivos como elemento da erosão democrática,Joyce Miranda Leão Martins,2022,Revista Brasileira de Ciência Política,scielo,module_A_pt,10.1590/0103-3352.2022.37.254322,https://doi.org/10.1590/0103-3352.2022.37.254322,open,elemento da erosão democráticaNeoconservatism in Latin America: the attack on sexual,qwen3.5:27b,0.65,retrieve_fulltext,title+abstract,uncertain,local_reviewer,https://doi.org/10.1590/0103-3352.2022.37.254322
