record_id,queue_priority,title_abstract_status,title,authors,year,source,database,profile,doi,record_url,fulltext_url,retrieval_status,pdf_identity_gate,eligibility_status,final_inclusion
R000173,1,provisional_include,Elecciones Generales Perú 2021: claves para diseccionar las elecciones del Bicentenario,Henry Ayala Abril,2021,Revista Elecciones,crossref,module_E_es,10.53557/elecciones.2021.v20n21.14,https://doi.org/10.53557/elecciones.2021.v20n21.14,https://doi.org/10.53557/elecciones.2021.v20n21.14,pending,pending,pending,pending
R000174,1,provisional_include,Elecciones Internas Perú 2022: abriendo la “caja negra” de los datos electorales,Narda Carranza Pinedo,2022,Revista Elecciones,crossref,module_E_es,10.53557/elecciones.2022.v21n23.11,https://doi.org/10.53557/elecciones.2022.v21n23.11,https://revistas.onpe.gob.pe/index.php/elecciones/article/download/247/601,pending,pending,pending,pending
R000205,1,provisional_include,Reelección presidencial y retroceso democrático en América Latina,"Torrico Terán, Mario Alejandro",2024,,core,module_A_es,,https://core.ac.uk/download/618593077.pdf,https://core.ac.uk/download/618593077.pdf,pending,pending,pending,pending
R000247,1,provisional_include,Replication data for: The Democracy Cluster Classification Index,"Gugiu,  Mihaiela Ristei; Centellas, Miguel",2013,,core,module_C_en,10.7910/dvn/6uwauq,https://core.ac.uk/download/268485845.pdf,https://core.ac.uk/download/268485845.pdf,pending,pending,pending,pending
R000248,1,provisional_include,Creating Composite Indicators with DEA and Robustness Analysis: the case of the Technology Achievement Index,A. Saltelli; Wim Moesen; R. Liska; Tom Van Puyenbroeck; Michaela Saisana; Laurens Cherchye; Nicky Rogge; S. Tarantola,2006,,core,module_C_en,10.1057/palgrave.jors.2602445,https://core.ac.uk/download/7087829.pdf,https://core.ac.uk/download/7087829.pdf,pending,pending,pending,pending
R000251,1,provisional_include,La democracia en perspectiva: consideraciones teóricas y análisis de casos,"Lopez Leyva, Miguel Armando; Labastida Martin del Campo, Julio; Castanos, Fernando",2008,,core,module_C_es,,https://core.ac.uk/download/79478659.pdf,https://core.ac.uk/download/79478659.pdf,pending,pending,pending,pending
R000252,1,provisional_include,"Da democracia representativa à democracia participativa: a auto-convocação popular, um mecanismo de aperfeiçoamento da representação política","Carvalho, Kátia de",2012,,core,module_C_es,,https://core.ac.uk/download/30376264.pdf,https://core.ac.uk/download/30376264.pdf,pending,pending,pending,pending
R000271,1,provisional_include,Métodos de prospectiva estratégica y participación local en el análisis de estudios de futuro en áreas naturales protegidas,"de los Ángeles La Torre-Cuadros, M.; Fernando Díaz del Olmo; Alexis Nicolás Ibáñez Blancas; Ibáñez Blancas, Alexis Nicolás; Blancas, A.N.I.; María de los Ángeles La Torre-Cuadros; La Torre-Cuadros, María de los Ángeles; Díaz del Olmo, Fernando; del Olmo, F.D.",2023,"{""title"": null, ""identifiers"": []}",core,module_D_es,10.3989/estgeogr.2023131.131,https://core.ac.uk/download/573452480.pdf,https://core.ac.uk/download/573452480.pdf,pending,pending,pending,pending
R000273,1,provisional_include,Método para a construção e análise de cenários prospectivos em planejamento educacional baseado na gestão do conhecimento,"Thiesen, Juares da Silva",2012,,core,module_D_pt,,https://core.ac.uk/download/30374115.pdf,https://core.ac.uk/download/30374115.pdf,pending,pending,pending,pending
R000283,1,provisional_include,Métodos e Técnicas em Cenários Prospectivos,"Lapolli, Edis Mafra; Bernardes, José Francisco",2006,,core,module_D_pt,,https://core.ac.uk/download/30355814.pdf,https://core.ac.uk/download/30355814.pdf,pending,pending,pending,pending
R000348,1,provisional_include,The Appeal of the Bukele Regime in Latin America: The Scope and Limits of Citizen Support,Rosen J.D.,2026,Latin American Policy,scopus,module_A_en,10.1111/lamp.70069,https://api.elsevier.com/content/abstract/scopus_id/105046833808,https://doi.org/10.1111/lamp.70069,pending,pending,pending,pending
R000349,1,provisional_include,Floods and democratic attitudes: evidence from Latin America,Birch S.,2026,Climatic Change,scopus,module_A_en,10.1007/s10584-026-04259-5,https://api.elsevier.com/content/abstract/scopus_id/105046505257,https://link.springer.com/content/pdf/10.1007/s10584-026-04259-5.pdf,pending,pending,pending,pending
R000352,1,provisional_include,What Can Latin America Tell Us about Subnational Democratic Erosion in the United States?,Eaton K.,2026,Perspectives on Politics,scopus,module_A_en,10.1017/s1537592725000015,https://api.elsevier.com/content/abstract/scopus_id/105001289217,https://doi.org/10.1017/s1537592725000015,pending,pending,pending,pending
R000353,1,provisional_include,Public acceptance of environmental restrictions beyond high-income democracies,Jud S.,2026,Environmental Research Letters,scopus,module_A_en,10.1088/1748-9326/ae666e,https://api.elsevier.com/content/abstract/scopus_id/105040031341,https://iopscience.iop.org/article/10.1088/1748-9326/ae666e/pdf,pending,pending,pending,pending
R000358,1,provisional_include,Why resistance fails: unpopular legislative autocratization and opposition weakness in Peru,Coronel O.,2026,Democratization,scopus,module_A_en,10.1080/13510347.2026.2650393,https://api.elsevier.com/content/abstract/scopus_id/105035774449,https://doi.org/10.1080/13510347.2026.2650393,pending,pending,pending,pending
R000361,1,provisional_include,Supermajority rules in constitutional courts and democratic backsliding: a comparative analysis,Rivera León M.A.,2026,International Journal of Human Rights,scopus,module_A_en,10.1080/13642987.2026.2711681,https://api.elsevier.com/content/abstract/scopus_id/105046706794,https://www.tandfonline.com/doi/pdf/10.1080/13642987.2026.2711681?needAccess=true,pending,pending,pending,pending
R000364,1,provisional_include,The Power and Perils of Participatory Democracy: Participatory Budgeting and Democracy in Peru,Abbott J.,2026,Power and Perils of Participatory Democracy Participatory Budgeting and Democracy in Peru,scopus,module_A_en,10.1093/9780198948735.001.0001,https://api.elsevier.com/content/abstract/scopus_id/105035037406,https://doi.org/10.1093/9780198948735.001.0001,pending,pending,pending,pending
R000418,1,provisional_include,Asylum seekers’ response to political risk in their countries of origin: New evidence for asylum inflows to the OECD,Nowak-Lehmann F.,2026,Migration Studies,scopus,module_B_en,10.1093/migration/mnag032,https://api.elsevier.com/content/abstract/scopus_id/105043862811,https://doi.org/10.1093/migration/mnag032,pending,pending,pending,pending
R000432,1,provisional_include,The Override of Presidential Vetoes by the Peruvian Congress: Using Comparative Law to Derive a Proposal for Solving a Domestic Problem,Fuentes J.A.,2026,International Journal of Legal Information,scopus,module_B_en,10.1515/ijli-2026-0001,https://api.elsevier.com/content/abstract/scopus_id/105038644144,https://doi.org/10.1515/ijli-2026-0001,pending,pending,pending,pending
R000438,1,provisional_include,Assessing Democratic Resilience in Latin America's AI Era: A Diagnostic Framework for Electoral Integrity Preparedness,Rico Fontalvo H.,2026,Representation,scopus,module_B_en,10.1080/00344893.2026.2614612,https://api.elsevier.com/content/abstract/scopus_id/105028116489,https://doi.org/10.1080/00344893.2026.2614612,pending,pending,pending,pending
R000518,1,provisional_include,"Opening or foreclosing futures? A longitudinal analysis of European bioeconomy foresight (SCAR, 2007–2020)",Vastenaekels J.,2026,European Journal of Futures Research,scopus,module_D_en,10.1186/s40309-026-00274-y,https://api.elsevier.com/content/abstract/scopus_id/105040913650,https://doi.org/10.1186/s40309-026-00274-y,pending,pending,pending,pending
R000519,1,provisional_include,Bridging foresight and transition theory: policy mixes for transforming Europe’s food systems,Lorenz U.,2026,European Journal of Futures Research,scopus,module_D_en,10.1186/s40309-026-00284-w,https://api.elsevier.com/content/abstract/scopus_id/105046460366,https://link.springer.com/content/pdf/10.1186/s40309-026-00284-w.pdf,pending,pending,pending,pending
R000535,1,provisional_include,Elite cohesion and policy consensus: Technocrats and politicians in Chile and Uruguay’s economic policy networks (2003–2012),Garrido-Vergara L.,2026,International Journal of Comparative Sociology,scopus,module_D_es,10.1177/00207152251358850,https://api.elsevier.com/content/abstract/scopus_id/105024680025,https://doi.org/10.1177/00207152251358850,pending,pending,pending,pending
R000541,1,provisional_include,Children of the revolution? Democratic innovations during the first 50 years of democracy in Portugal,Falanga R.,2026,European Political Science,scopus,module_D_es,10.1017/s1682098325100052,https://api.elsevier.com/content/abstract/scopus_id/105035700778,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/178A56DA98F69E3BD3F3E5356A1FEC03/S1682098325100052a.pdf/div-class-title-children-of-the-revolution-democratic-innovations-during-the-first-50-years-of-democracy-in-portugal-div.pdf,pending,pending,pending,pending
R000543,1,provisional_include,Mi comprensión de la democracia: un resumen,Przeworski A.,2026,Estudios Sociologicos,scopus,module_D_es,10.24201/es.2026v44.e3079,https://api.elsevier.com/content/abstract/scopus_id/105044014210,https://estudiossociologicos.colmex.mx/index.php/es/article/download/3079/3076,pending,pending,pending,pending
R000544,1,provisional_include,Large Language Models for Designing Participatory Budgeting Rules,Thach N.,2026,Aamas 2026 Proceedings of the 25th International Conference on Autonomous Agents and Multiagent Systems,scopus,module_D_es,10.65109/lgep3560,https://api.elsevier.com/content/abstract/scopus_id/105041395589,https://doi.org/10.65109/lgep3560,pending,pending,pending,pending
R000567,1,provisional_include,Is national governance important for economic growth?,dos Santos T.M.,2026,Revista De Administracao Publica,scopus,module_D_pt,10.1590/0034-761220250224x,https://api.elsevier.com/content/abstract/scopus_id/105034806404,https://doi.org/10.1590/0034-761220250224x,pending,pending,pending,pending
R000569,1,provisional_include,Participatory foresight in subnational policy processes: two experiences in Peru,Alcalde G.,2026,Foresight,scopus,module_D_pt,10.1108/fs-08-2025-0177,https://api.elsevier.com/content/abstract/scopus_id/105037594457,https://doi.org/10.1108/fs-08-2025-0177,pending,pending,pending,pending
R000575,1,provisional_include,"Toward a decolonial One Health: Findings from a participatory action research initiative with indigenous, Campesino, and Afro-descendant communities in the Amazon",Méndez-Paz F.,2026,One Health,scopus,module_E_en,10.1016/j.onehlt.2026.101476,https://api.elsevier.com/content/abstract/scopus_id/105042569556,https://doi.org/10.1016/j.onehlt.2026.101476,pending,pending,pending,pending
R000593,1,provisional_include,The Indigenous land titling trap: adaptive practices and the limits of climate governance,Paredes M.,2026,World Development,scopus,module_E_en,10.1016/j.worlddev.2026.107429,https://api.elsevier.com/content/abstract/scopus_id/105036040644,https://doi.org/10.1016/j.worlddev.2026.107429,pending,pending,pending,pending
R000645,1,provisional_include,"Profissionais da justiça e da segurança pública, conservadorismo e erosão democrática",Maria da Gloria Bonelli,2026,,scielo,module_A_pt,10.1590/scielopreprints.17594,https://doi.org/10.1590/scielopreprints.17594,https://doi.org/10.1590/scielopreprints.17594,pending,pending,pending,pending
R000059,2,uncertain,La calidad de la democracia en el Perú y en América Latina,Martín Tanaka; Catalina Romero; Alberto Adrianzén; Steven Levitsky,2011,La democracia y sus instituciones en debate,crossref,module_A_es,10.18800/9789972429774.009,https://doi.org/10.18800/9789972429774.009,https://repositorio.pucp.edu.pe/bitstreams/180f762d-e0db-4d84-b5e2-bfe3be29002d/download,pending,pending,pending,pending
R000065,2,uncertain,Luces y sombras de la calidad de la democracia en América Latina,Manuel Alcántara Saéz,2007,Revista Oficial del Poder Judicial. Órgano de Investigación de la Corte Suprema de Justicia de la República del Perú,crossref,module_A_es,10.35292/ropj.v2i2.154,https://doi.org/10.35292/ropj.v2i2.154,https://doi.org/10.35292/ropj.v2i2.154,pending,pending,pending,pending
R000071,2,uncertain,DESCONSOLIDAÇÃO DEMOCRÁTICA NA AMÉRICA LATINA,Fidel Terenciano,2018,Democracia na América Latina,crossref,module_A_pt,10.2307/j.ctvn96fr4.11,https://doi.org/10.2307/j.ctvn96fr4.11,https://doi.org/10.2307/j.ctvn96fr4.11,pending,pending,pending,pending
R000072,2,uncertain,"Democracia, desigualdades e corrupção: uma análise da qualidade democrática na América latina.",Maria Salete Souza de Amorim,2015,Século XXI – Revista de Ciências Sociais,crossref,module_A_pt,10.5902/2236672521590,https://doi.org/10.5902/2236672521590,https://periodicos.ufsm.br/seculoxxi/article/download/21590/13113,pending,pending,pending,pending
R000074,2,uncertain,La controvertida democracia representativa,Hugo Quiroga,2019,Elecciones y legitimidad democrática en América Latina,crossref,module_A_pt,10.2307/j.ctvt6rkct.17,https://doi.org/10.2307/j.ctvt6rkct.17,https://doi.org/10.2307/j.ctvt6rkct.17,pending,pending,pending,pending
R000079,2,uncertain,Peru: Executive v Legislative Wars Amidst a Global Pandemic,Trilce Valdivia,2024,Pandemocracy in Latin America,crossref,module_B_en,10.5040/9781509965304.ch-007,https://doi.org/10.5040/9781509965304.ch-007,https://doi.org/10.5040/9781509965304.ch-007,pending,pending,pending,pending
R000081,2,uncertain,3 Peru,,2024,Why Presidents Fail,crossref,module_B_en,10.1515/9781503639560-006,https://doi.org/10.1515/9781503639560-006,http://dx.doi.org/10.1515/9781503639560-006,pending,pending,pending,pending
R000091,2,uncertain,¿Participación ciudadana y cultura política en Colombia? Un contraste de las experiencias de la Asamblea Constituyente de Mogotes y del Proyecto Nasa del Cauca,González Nidia Catherine,2011,Culturas políticas en la región andina,crossref,module_B_es,10.31819/9783954871513-003,https://doi.org/10.31819/9783954871513-003,http://americanae.aecid.es/americanae/es/registros/registro.do?tipoRegistro=MTD&idBib=1128835,pending,pending,pending,pending
R000095,2,uncertain,"Política de vivienda, organización del espacio y participación ciudadana",Martha Schteingart,2019,El derecho a la ciudad en América Latina,crossref,module_B_es,10.2307/j.ctvt6rm0z.5,https://doi.org/10.2307/j.ctvt6rm0z.5,https://doi.org/10.2307/j.ctvt6rm0z.5,pending,pending,pending,pending
R000097,2,uncertain,"Representatividad, participación y política: nuevo foco para el viejo debate sobre la función pública en América Latina",Mercedes Iacovello,2012,Revista Buen Gobierno,crossref,module_B_es,10.35247/buengob_12_05,https://doi.org/10.35247/buengob_12_05,https://doi.org/10.35247/buengob_12_05,pending,pending,pending,pending
R000103,2,uncertain,Notas introductorias sobre el populismo y la cultura política en el área andina de América Latina,H.C.F. Mansilla,2009,Ciências Sociais Unisinos,crossref,module_B_pt,10.4013/csu.2009.45.2.02,https://doi.org/10.4013/csu.2009.45.2.02,https://revistas.unisinos.br/index.php/ciencias_sociais/article/download/4890/2145/15814,pending,pending,pending,pending
R000108,2,uncertain,An Internal Validation Assessment of Scale Across Social Vulnerability Index Model Structures (Uncertainty and Global Sensitivity Analysis),Selena Hinojos; Caitlin Grady,2025,HydroShare Resources,crossref,module_C_en,10.4211/hs.719a8d719907435dade9102aa9a0fa8d,https://doi.org/10.4211/hs.719a8d719907435dade9102aa9a0fa8d,https://doi.org/10.4211/hs.719a8d719907435dade9102aa9a0fa8d,pending,pending,pending,pending
R000111,2,uncertain,ÍNDICE ANALÍTICO,,2006,La república deliberativa,crossref,module_C_es,10.2307/jj.2321989.16,https://doi.org/10.2307/jj.2321989.16,http://doi.org/10.2307/jj.2321989.16,pending,pending,pending,pending
R000113,2,uncertain,ÍNDICE DE CASOS JUDICIALES,,2016,Precios de transferencia: análisis de la validez empírica de los métodos propuestos por la ocde para la eveluación del principio de plena competencia,crossref,module_C_es,10.2307/j.ctv1503j4m.5,https://doi.org/10.2307/j.ctv1503j4m.5,https://doi.org/10.2307/j.ctv1503j4m.5,pending,pending,pending,pending
R000124,2,uncertain,The Monte Carlo Process and Scenario Planning,Charles Yoe,2025,The Art of Making Decisions Under Uncertainty,crossref,module_D_en,10.1201/9781003605089-24,https://doi.org/10.1201/9781003605089-24,,pending,pending,pending,pending
R000147,2,uncertain,"Ciência Política, democracia e dinâmicas de governança",,2026,,crossref,module_D_pt,10.22533/at.ed.34911261201,https://doi.org/10.22533/at.ed.34911261201,https://doi.org/10.22533/at.ed.34911261201,pending,pending,pending,pending
R000175,2,uncertain,El control constitucional de las resoluciones electorales en el Perú,César Landa,2011,Revista Elecciones,crossref,module_E_es,10.53557/elecciones.2011.v10n11.02,https://doi.org/10.53557/elecciones.2011.v10n11.02,https://doi.org/10.53557/elecciones.2011.v10n11.02,pending,pending,pending,pending
R000177,2,uncertain,Resultados electorales oficiales de 2006. República de El Salvador ; Tribunal Supremo Electoral. Consolidado nacional de las elecciones para concejos municipales ; Tribunal Supremo Electoral. Consolidado nacional de las elecciones para diputados,El Editor,2006,ECA: Estudios Centroamericanos,crossref,module_E_es,10.51378/eca.v61i688-689.4954,https://doi.org/10.51378/eca.v61i688-689.4954,https://doi.org/10.51378/eca.v61i688-689.4954,pending,pending,pending,pending
R000179,2,uncertain,Integridad electoral en la construcción de los resultados electorales,Gustavo López Montiel,2019,Integridad electoral,crossref,module_E_es,10.2307/j.ctvxbpgs0.12,https://doi.org/10.2307/j.ctvxbpgs0.12,https://doi.org/10.2307/j.ctvxbpgs0.12,pending,pending,pending,pending
R000201,2,uncertain,Reforma política : para consolidar el régimen democrático,"Pease García, Henry",2008,,core,module_A_es,10.18800/9789972428531,https://core.ac.uk/download/655679774.pdf,https://core.ac.uk/download/655679774.pdf,pending,pending,pending,pending
R000253,2,uncertain,Índice de artículos,"Publicados, Índice de artículos",2013,"{""title"": null, ""identifiers"": []}",core,module_C_es,,https://core.ac.uk/download/533173403.pdf,https://core.ac.uk/download/533173403.pdf,pending,pending,pending,pending
R000299,2,uncertain,Derecho electoral municipal: un análisis sociológico de su variación en el Perú 1980-2002,"Vargas León, Carlos",2002,,core,module_E_es,10.53557/elecciones.2002.v1n1.03,https://core.ac.uk/download/517418424.pdf,https://core.ac.uk/download/517418424.pdf,pending,pending,pending,pending
R000350,2,uncertain,Political polarization in low- and middle-income countries,Larreguy H.,2026,Nature Human Behaviour,scopus,module_A_en,10.1038/s41562-026-02507-3,https://api.elsevier.com/content/abstract/scopus_id/105042611963,https://doi.org/10.1038/s41562-026-02507-3,pending,pending,pending,pending
R000351,2,uncertain,The Treacherous Road out of Autocracy,Gamboa L.,2026,Current History,scopus,module_A_en,10.1525/curh.2026.125.872-873.38,https://api.elsevier.com/content/abstract/scopus_id/105044370692,https://doi.org/10.1525/curh.2026.125.872-873.38,pending,pending,pending,pending
R000540,2,uncertain,School well-being in boarding schools: challenges and opportunities to overcome social anomie in an indigenous context,Villarroel-Cárdenas V.,2026,Estudios Pedagogicos,scopus,module_D_es,10.4067/s0718-07052026000100501,https://api.elsevier.com/content/abstract/scopus_id/105041303264,https://doi.org/10.4067/s0718-07052026000100501,pending,pending,pending,pending
R000596,2,uncertain,Discursive geographies of extraction: towards a territorialized application of cultural political economy of extractivism in Chile and Peru,Watanabe-Farro A.,2026,Extractive Industries and Society,scopus,module_E_es,10.1016/j.exis.2026.102020,https://api.elsevier.com/content/abstract/scopus_id/105046891472,https://doi.org/10.1016/j.exis.2026.102020,pending,pending,pending,pending
R000643,2,uncertain,Neoconservadorismo na América Latina: o ataque aos direitos sexuais e reprodutivos como elemento da erosão democrática,Joyce Miranda Leão Martins,2022,Revista Brasileira de Ciência Política,scielo,module_A_pt,10.1590/0103-3352.2022.37.254322,https://doi.org/10.1590/0103-3352.2022.37.254322,https://doi.org/10.1590/0103-3352.2022.37.254322,pending,pending,pending,pending
