Perfil,Fuente,Idioma,Rol / módulo,String ejecutado,Prioridad
module_C_en,arxiv,en,"Medición democrática, índices, validez e incertidumbre","""democracy measurement"" ""democracy index"" ""composite index"" ""latent dimension"" validation validity uncertainty ""sensitivity analysis""",3
module_C_en,scopus,en,"Medición democrática, índices, validez e incertidumbre","TITLE-ABS-KEY((""democracy measurement"" OR ""democracy index"" OR ""composite index"" OR ""latent dimension"") AND (validation OR validity OR uncertainty OR ""sensitivity analysis""))",3
module_C_en,scielo,en,"Medición democrática, índices, validez e incertidumbre",democracy measurement democracy index composite index latent dimension validation validity uncertainty sensitivity analysis,3
module_C_pt,openalex,pt,"Medición democrática, índices, validez e incertidumbre",mensuração da democracia índice de democracia índice composto dimensão latente validação validade incerteza sensibilidade análise de sensibilidade,3
module_C_pt,crossref,pt,"Medición democrática, índices, validez e incertidumbre",mensuração da democracia índice de democracia índice composto dimensão latente validação validade incerteza sensibilidade análise de sensibilidade,3
module_C_pt,semantic_scholar,pt,"Medición democrática, índices, validez e incertidumbre","""mensuração da democracia"" ""índice de democracia"" ""índice composto"" ""dimensão latente"" validação validade incerteza sensibilidade ""análise de sensibilidade""",3
module_C_pt,core,pt,"Medición democrática, índices, validez e incertidumbre",mensuração da democracia índice de democracia índice composto dimensão latente validação validade incerteza sensibilidade análise de sensibilidade,3
module_C_pt,arxiv,pt,"Medición democrática, índices, validez e incertidumbre","""mensuração da democracia"" ""índice de democracia"" ""índice composto"" ""dimensão latente"" validação validade incerteza sensibilidade ""análise de sensibilidade""",3
module_C_pt,scopus,pt,"Medición democrática, índices, validez e incertidumbre","(""mensuração da democracia"" OR ""índice de democracia"" OR ""índice composto"" OR ""dimensão latente"") AND (validação OR validade OR incerteza OR sensibilidade OR ""análise de sensibilidade"")",3
module_C_pt,scielo,pt,"Medición democrática, índices, validez e incertidumbre",mensuração da democracia índice de democracia índice composto dimensão latente validação validade incerteza sensibilidade análise de sensibilidade,3
module_D_es,openalex,es,"Prospectiva, escenarios exploratorios y sensibilidad",prospectiva estudios de futuro planificación por escenarios escenario exploratorio propagación de incertidumbre Monte Carlo análisis de sensibilidad democracia gobernanza institución política,4
module_D_es,crossref,es,"Prospectiva, escenarios exploratorios y sensibilidad",prospectiva estudios de futuro planificación por escenarios escenario exploratorio propagación de incertidumbre Monte Carlo análisis de sensibilidad democracia gobernanza institución política,4
module_D_es,semantic_scholar,es,"Prospectiva, escenarios exploratorios y sensibilidad","prospectiva ""estudios de futuro"" ""planificación por escenarios"" ""escenario exploratorio"" ""propagación de incertidumbre"" ""Monte Carlo"" ""análisis de sensibilidad"" democracia gobernanza ""institución política""",4
module_D_es,core,es,"Prospectiva, escenarios exploratorios y sensibilidad",prospectiva estudios de futuro planificación por escenarios escenario exploratorio propagación de incertidumbre Monte Carlo análisis de sensibilidad democracia gobernanza institución política,4
module_D_es,arxiv,es,"Prospectiva, escenarios exploratorios y sensibilidad","prospectiva ""estudios de futuro"" ""planificación por escenarios"" ""escenario exploratorio"" ""propagación de incertidumbre"" ""Monte Carlo"" ""análisis de sensibilidad"" democracia gobernanza ""institución política""",4
module_D_es,scopus,es,"Prospectiva, escenarios exploratorios y sensibilidad","(prospectiva OR ""estudios de futuro"" OR ""planificación por escenarios"" OR ""escenario exploratorio"" OR ""propagación de incertidumbre"" OR ""Monte Carlo"" OR ""análisis de sensibilidad"") AND (democracia OR gobernanza OR ""institución política"")",4
module_D_es,scielo,es,"Prospectiva, escenarios exploratorios y sensibilidad",prospectiva estudios de futuro planificación por escenarios escenario exploratorio propagación de incertidumbre Monte Carlo análisis de sensibilidad democracia gobernanza institución política,4
module_D_en,openalex,en,"Prospectiva, escenarios exploratorios y sensibilidad",foresight future studies scenario planning exploratory scenario uncertainty propagation Monte Carlo sensitivity analysis democracy governance political institution,4
module_D_en,crossref,en,"Prospectiva, escenarios exploratorios y sensibilidad",foresight future studies scenario planning exploratory scenario uncertainty propagation Monte Carlo sensitivity analysis democracy governance political institution,4
module_D_en,semantic_scholar,en,"Prospectiva, escenarios exploratorios y sensibilidad","foresight ""future studies"" ""scenario planning"" ""exploratory scenario"" ""uncertainty propagation"" ""Monte Carlo"" ""sensitivity analysis"" democracy governance ""political institution""",4
module_D_en,core,en,"Prospectiva, escenarios exploratorios y sensibilidad",foresight future studies scenario planning exploratory scenario uncertainty propagation Monte Carlo sensitivity analysis democracy governance political institution,4
module_D_en,arxiv,en,"Prospectiva, escenarios exploratorios y sensibilidad","foresight ""future studies"" ""scenario planning"" ""exploratory scenario"" ""uncertainty propagation"" ""Monte Carlo"" ""sensitivity analysis"" democracy governance ""political institution""",4
module_D_en,scopus,en,"Prospectiva, escenarios exploratorios y sensibilidad","TITLE-ABS-KEY((foresight OR ""future studies"" OR ""scenario planning"" OR ""exploratory scenario"" OR ""uncertainty propagation"" OR ""Monte Carlo"" OR ""sensitivity analysis"") AND (democracy OR governance OR ""political institution""))",4
module_D_en,scielo,en,"Prospectiva, escenarios exploratorios y sensibilidad",foresight future studies scenario planning exploratory scenario uncertainty propagation Monte Carlo sensitivity analysis democracy governance political institution,4
module_D_pt,openalex,pt,"Prospectiva, escenarios exploratorios y sensibilidad",prospectiva estudos de futuro planejamento de cenários cenário exploratório propagação de incerteza Monte Carlo análise de sensibilidade democracia governança instituição política,4
module_D_pt,crossref,pt,"Prospectiva, escenarios exploratorios y sensibilidad",prospectiva estudos de futuro planejamento de cenários cenário exploratório propagação de incerteza Monte Carlo análise de sensibilidade democracia governança instituição política,4
module_D_pt,semantic_scholar,pt,"Prospectiva, escenarios exploratorios y sensibilidad","prospectiva ""estudos de futuro"" ""planejamento de cenários"" ""cenário exploratório"" ""propagação de incerteza"" ""Monte Carlo"" ""análise de sensibilidade"" democracia governança ""instituição política""",4
module_D_pt,core,pt,"Prospectiva, escenarios exploratorios y sensibilidad",prospectiva estudos de futuro planejamento de cenários cenário exploratório propagação de incerteza Monte Carlo análise de sensibilidade democracia governança instituição política,4
module_D_pt,arxiv,pt,"Prospectiva, escenarios exploratorios y sensibilidad","prospectiva ""estudos de futuro"" ""planejamento de cenários"" ""cenário exploratório"" ""propagação de incerteza"" ""Monte Carlo"" ""análise de sensibilidade"" democracia governança ""instituição política""",4
module_D_pt,scopus,pt,"Prospectiva, escenarios exploratorios y sensibilidad","(prospectiva OR ""estudos de futuro"" OR ""planejamento de cenários"" OR ""cenário exploratório"" OR ""propagação de incerteza"" OR ""Monte Carlo"" OR ""análise de sensibilidade"") AND (democracia OR governança OR ""instituição política"")",4
module_D_pt,scielo,pt,"Prospectiva, escenarios exploratorios y sensibilidad",prospectiva estudos de futuro planejamento de cenários cenário exploratório propagação de incerteza Monte Carlo análise de sensibilidade democracia governança instituição política,4
module_E_es,openalex,es,"Perú 2026, evidencia electoral e institucional post-electoral",Perú elecciones generales 2026 observación electoral resultados electorales Congreso bicameral seguridad securitización,5
module_E_es,crossref,es,"Perú 2026, evidencia electoral e institucional post-electoral",Perú elecciones generales 2026 observación electoral resultados electorales Congreso bicameral seguridad securitización,5
module_E_es,semantic_scholar,es,"Perú 2026, evidencia electoral e institucional post-electoral","Perú ""elecciones generales 2026"" ""observación electoral"" ""resultados electorales"" ""Congreso bicameral"" seguridad securitización",5
module_E_es,core,es,"Perú 2026, evidencia electoral e institucional post-electoral",Perú elecciones generales 2026 observación electoral resultados electorales Congreso bicameral seguridad securitización,5
module_E_es,arxiv,es,"Perú 2026, evidencia electoral e institucional post-electoral","Perú ""elecciones generales 2026"" ""observación electoral"" ""resultados electorales"" ""Congreso bicameral"" seguridad securitización",5
module_E_es,scopus,es,"Perú 2026, evidencia electoral e institucional post-electoral","(Perú) AND (""elecciones generales 2026"" OR ""observación electoral"" OR ""resultados electorales"" OR ""Congreso bicameral"" OR seguridad OR securitización)",5
module_E_es,scielo,es,"Perú 2026, evidencia electoral e institucional post-electoral",Perú elecciones generales 2026 observación electoral resultados electorales Congreso bicameral seguridad securitización,5
module_E_en,openalex,en,"Perú 2026, evidencia electoral e institucional post-electoral",Peru general election 2026 election observation electoral results bicameral Congress security securitization,5
module_E_en,crossref,en,"Perú 2026, evidencia electoral e institucional post-electoral",Peru general election 2026 election observation electoral results bicameral Congress security securitization,5
module_E_en,semantic_scholar,en,"Perú 2026, evidencia electoral e institucional post-electoral","Peru ""general election 2026"" ""election observation"" ""electoral results"" ""bicameral Congress"" security securitization",5
module_E_en,core,en,"Perú 2026, evidencia electoral e institucional post-electoral",Peru general election 2026 election observation electoral results bicameral Congress security securitization,5
module_E_en,arxiv,en,"Perú 2026, evidencia electoral e institucional post-electoral","Peru ""general election 2026"" ""election observation"" ""electoral results"" ""bicameral Congress"" security securitization",5
module_E_en,scopus,en,"Perú 2026, evidencia electoral e institucional post-electoral","TITLE-ABS-KEY(Peru AND (""general election 2026"" OR ""election observation"" OR ""electoral results"" OR ""bicameral Congress"" OR security OR securitization))",5
module_E_en,scielo,en,"Perú 2026, evidencia electoral e institucional post-electoral",Peru general election 2026 election observation electoral results bicameral Congress security securitization,5
module_E_pt,openalex,pt,"Perú 2026, evidencia electoral e institucional post-electoral",Peru eleições gerais 2026 observação eleitoral resultados eleitorais Congresso bicameral segurança securitização,5
module_E_pt,crossref,pt,"Perú 2026, evidencia electoral e institucional post-electoral",Peru eleições gerais 2026 observação eleitoral resultados eleitorais Congresso bicameral segurança securitização,5
module_E_pt,semantic_scholar,pt,"Perú 2026, evidencia electoral e institucional post-electoral","Peru ""eleições gerais 2026"" ""observação eleitoral"" ""resultados eleitorais"" ""Congresso bicameral"" segurança securitização",5
module_E_pt,core,pt,"Perú 2026, evidencia electoral e institucional post-electoral",Peru eleições gerais 2026 observação eleitoral resultados eleitorais Congresso bicameral segurança securitização,5
module_E_pt,arxiv,pt,"Perú 2026, evidencia electoral e institucional post-electoral","Peru ""eleições gerais 2026"" ""observação eleitoral"" ""resultados eleitorais"" ""Congresso bicameral"" segurança securitização",5
module_E_pt,scopus,pt,"Perú 2026, evidencia electoral e institucional post-electoral","(Peru) AND (""eleições gerais 2026"" OR ""observação eleitoral"" OR ""resultados eleitorais"" OR ""Congresso bicameral"" OR segurança OR securitização)",5
module_E_pt,scielo,pt,"Perú 2026, evidencia electoral e institucional post-electoral",Peru eleições gerais 2026 observação eleitoral resultados eleitorais Congresso bicameral segurança securitização,5
