file,field,dtype,description
peru_2025_anchor_summary.csv,interpretation,object,Mandatory interpretive limitation for the value or distribution.
peru_2025_category_calibration_audit.csv,category_full,object,Category full.
peru_2025_category_calibration_audit.csv,peru_2024_observed,float64,Peru 2024 observed.
peru_2025_category_calibration_audit.csv,latam_delta_2025_2024,float64,Latam delta 2025 2024.
peru_2025_category_calibration_audit.csv,world_delta_2025_2024,float64,World delta 2025 2024.
peru_2025_category_calibration_audit.csv,peru_2025_modeled_anchor,float64,Peru 2025 modeled anchor.
peru_2025_category_calibration_audit.csv,peru_delta_2025_2024,float64,Peru delta 2025 2024.
peru_2025_category_calibration_audit.csv,rationale,object,Rationale.
post_election_evidence_2026.csv,id,object,Id.
post_election_evidence_2026.csv,date,object,Date.
post_election_evidence_2026.csv,type,object,Type.
post_election_evidence_2026.csv,source,object,Source.
post_election_evidence_2026.csv,title,object,Title.
post_election_evidence_2026.csv,signal,object,Signal.
post_election_evidence_2026.csv,model_dimensions,object,Model dimensions.
post_election_evidence_2026.csv,url,object,Source URL.
post_election_evidence_2026.csv,source_priority,object,Categorical source-priority label; never a numeric model weight.
post_election_evidence_2026.csv,computational_use,bool,Whether the evidence record is directly used as a numeric coefficient.
scenario_coefficients.csv,scenario_id,object,Stable machine-readable scenario identifier.
scenario_coefficients.csv,scenario_name,object,Human-readable scenario name.
scenario_coefficients.csv,category_full,object,Category full.
scenario_coefficients.csv,category_es,object,Category es.
scenario_coefficients.csv,annual_structural_rate,float64,Annual structural rate.
scenario_coefficients.csv,shock_2026,float64,Shock 2026.
scenario_coefficients.csv,evidence_basis,object,Semicolon-separated evidence identifiers supporting the judgement.
scenario_parameter_samples_summary.csv,scenario_id,object,Stable machine-readable scenario identifier.
scenario_parameter_samples_summary.csv,category_full,object,Category full.
scenario_parameter_samples_summary.csv,category_es,object,Category es.
scenario_parameter_samples_summary.csv,parameter,object,Parameter.
scenario_parameter_samples_summary.csv,p10,float64,10th percentile of the stated sensitivity distribution.
scenario_parameter_samples_summary.csv,p50,float64,Median of the stated sensitivity distribution.
scenario_parameter_samples_summary.csv,p90,float64,90th percentile of the stated sensitivity distribution.
scenario_parameter_samples_summary.csv,n_sim,int64,Number of Monte Carlo sensitivity draws.
scenario_sensitivity_bands.csv,scenario_id,object,Stable machine-readable scenario identifier.
scenario_sensitivity_bands.csv,year,int64,Calendar or analytical year.
scenario_sensitivity_bands.csv,p10,float64,10th percentile of the stated sensitivity distribution.
scenario_sensitivity_bands.csv,p50,float64,Median of the stated sensitivity distribution.
scenario_sensitivity_bands.csv,p90,float64,90th percentile of the stated sensitivity distribution.
scenario_sensitivity_bands.csv,n_sim,int64,Number of Monte Carlo sensitivity draws.
scenario_sensitivity_bands.csv,uncertainty_layers,object,Uncertainty components jointly propagated in the sensitivity exercise.
scenario_sensitivity_bands.csv,note,object,"Interpretive note, including limits on probabilistic claims."
scenario_sensitivity_by_category.csv,scenario_id,object,Stable machine-readable scenario identifier.
scenario_sensitivity_by_category.csv,year,int64,Calendar or analytical year.
scenario_sensitivity_by_category.csv,category_full,object,Category full.
scenario_sensitivity_by_category.csv,category_es,object,Category es.
scenario_sensitivity_by_category.csv,p10,float64,10th percentile of the stated sensitivity distribution.
scenario_sensitivity_by_category.csv,p50,float64,Median of the stated sensitivity distribution.
scenario_sensitivity_by_category.csv,p90,float64,90th percentile of the stated sensitivity distribution.
scenario_sensitivity_by_category.csv,n_sim,int64,Number of Monte Carlo sensitivity draws.
scenario_summary_2030.csv,scenario_id,object,Stable machine-readable scenario identifier.
scenario_summary_2030.csv,scenario_name,object,Human-readable scenario name.
scenario_summary_2030.csv,scenario_type,object,Scenario type.
scenario_summary_2030.csv,description,object,Description.
scenario_summary_2030.csv,score_2026,float64,Score 2026.
scenario_summary_2030.csv,score_2030,float64,Score 2030.
scenario_summary_2030.csv,regime_2030,object,Regime 2030.
scenario_summary_2030.csv,triggers,object,Triggers.
scenario_summary_2030.csv,warnings,object,Warnings.
scenario_summary_2030.csv,p10_2030,float64,P10 2030.
scenario_summary_2030.csv,p50_2030,float64,P50 2030.
scenario_summary_2030.csv,p90_2030,float64,P90 2030.
scenario_summary_2030.csv,classification_basis,object,Classification basis.
scenario_trajectories_2025_2030.csv,scenario_id,object,Stable machine-readable scenario identifier.
scenario_trajectories_2025_2030.csv,scenario_name,object,Human-readable scenario name.
scenario_trajectories_2025_2030.csv,year,int64,Calendar or analytical year.
scenario_trajectories_2025_2030.csv,Proceso electoral y pluralismo,float64,Dimensional score on the 0–10 scale; interpret with data_status.
scenario_trajectories_2025_2030.csv,Funcionamiento del gobierno,float64,Dimensional score on the 0–10 scale; interpret with data_status.
scenario_trajectories_2025_2030.csv,Participación política,float64,Dimensional score on the 0–10 scale; interpret with data_status.
scenario_trajectories_2025_2030.csv,Cultura política,float64,Dimensional score on the 0–10 scale; interpret with data_status.
scenario_trajectories_2025_2030.csv,Libertades civiles,float64,Dimensional score on the 0–10 scale; interpret with data_status.
scenario_trajectories_2025_2030.csv,overall_score,float64,Arithmetic mean of the five dimensional values on the 0–10 scale.
scenario_trajectories_2025_2030.csv,phase,object,Phase.
scenario_trajectories_2025_2030.csv,data_status,object,Controlled epistemic-status identifier from data_status_registry.csv.
scenario_trajectories_2025_2030.csv,regime_type,object,Regime type.
